trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_197841_b_643_tn_119,13:55:00,13:55:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_12,04:55:00,04:55:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_12,05:00:00,05:00:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_120,13:55:00,13:55:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_120,14:00:00,14:00:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_121,14:00:00,14:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_121,14:05:00,14:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_122,14:05:00,14:05:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_122,14:10:00,14:10:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_123,14:10:00,14:10:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_123,14:15:00,14:15:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_124,14:15:00,14:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_124,14:20:00,14:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_125,14:20:00,14:20:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_125,14:25:00,14:25:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_126,14:25:00,14:25:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_126,14:30:00,14:30:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_127,14:30:00,14:30:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_127,14:35:00,14:35:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_128,14:35:00,14:35:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_128,14:40:00,14:40:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_129,14:40:00,14:40:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_129,14:45:00,14:45:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_13,05:00:00,05:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_13,05:05:00,05:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_130,14:45:00,14:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_130,14:50:00,14:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_131,14:50:00,14:50:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_131,14:55:00,14:55:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_132,14:55:00,14:55:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_132,15:00:00,15:00:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_133,15:00:00,15:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_133,15:05:00,15:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_134,15:05:00,15:05:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_134,15:10:00,15:10:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_135,15:10:00,15:10:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_135,15:15:00,15:15:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_136,15:15:00,15:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_136,15:20:00,15:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_137,15:20:00,15:20:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_137,15:25:00,15:25:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_138,15:25:00,15:25:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_138,15:30:00,15:30:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_139,15:30:00,15:30:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_139,15:35:00,15:35:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_14,05:05:00,05:05:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_14,05:10:00,05:10:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_140,15:35:00,15:35:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_140,15:40:00,15:40:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_141,15:40:00,15:40:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_141,15:45:00,15:45:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_142,15:45:00,15:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_142,15:50:00,15:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_143,15:50:00,15:50:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_143,15:55:00,15:55:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_144,15:55:00,15:55:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_144,16:00:00,16:00:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_145,16:00:00,16:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_145,16:05:00,16:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_146,16:05:00,16:05:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_146,16:10:00,16:10:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_147,16:10:00,16:10:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_147,16:15:00,16:15:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_148,16:15:00,16:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_148,16:20:00,16:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_149,16:20:00,16:20:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_149,16:25:00,16:25:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_15,05:10:00,05:10:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_15,05:15:00,05:15:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_150,16:25:00,16:25:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_150,16:30:00,16:30:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_151,16:30:00,16:30:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_151,16:35:00,16:35:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_152,16:35:00,16:35:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_152,16:40:00,16:40:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_153,16:40:00,16:40:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_153,16:45:00,16:45:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_154,16:45:00,16:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_154,16:50:00,16:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_155,16:50:00,16:50:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_155,16:55:00,16:55:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_156,16:55:00,16:55:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_156,17:00:00,17:00:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_157,17:00:00,17:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_157,17:05:00,17:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_158,17:05:00,17:05:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_158,17:10:00,17:10:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_159,17:10:00,17:10:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_159,17:15:00,17:15:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
