shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_4496,40.739323192761,-74.155768195106,9,844.50393736
p_4496,40.739437,-74.155677,10,859.30452128
p_4496,40.740376686292,-74.153980978821,11,1036.53603865
p_4496,40.741074730908,-74.152585585953,12,1177.60337087
p_4496,40.741328125086,-74.151382125626,13,1283.07470317
p_4496,40.74149657288,-74.149868173233,14,1412.30884325
p_4496,40.74184749662,-74.145449371628,15,1787.56224409
p_4496,40.742062148767,-74.142615997345,16,2028.06021394
p_4496,40.742429254421,-74.137514243347,17,2460.88914267
p_4496,40.742898460125,-74.131597359741,18,2963.34730829
p_4496,40.743241236945,-74.127573661316,19,3305.31822197
p_4496,40.743291662678,-74.123922386169,20,3613.75867911
p_4496,40.743194052127,-74.118688581909,21,4055.94301084
p_4496,40.743063348083,-74.116422714294,22,4247.87001891
p_4496,40.7426420565,-74.112677744705,23,4567.61624735
p_4496,40.742159350916,-74.107667568756,24,4994.16677103
p_4496,40.741799980181,-74.10422740741,25,5287.45892313
p_4496,40.741675202001,-74.101929928558,26,5482.00436
p_4496,40.741434106916,-74.095364457611,27,6037.18944519
p_4496,40.741326742862,-74.092674640198,28,6264.69262189
p_4496,40.741291461458,-74.091290333313,29,6381.68134179
p_4496,40.741233085388,-74.0890264841,30,6573.00345477
p_4496,40.741159604082,-74.087441313461,31,6707.14081722
p_4496,40.741073699447,-74.08656759259,32,6781.55238353
p_4496,40.74088501121,-74.085616322754,33,6864.58742094
p_4496,40.740673718874,-74.084841373016,34,6934.12120465
p_4496,40.740516423075,-74.084232626984,35,6988.42448633
p_4496,40.740235931426,-74.083296388886,36,7073.41671572
p_4496,40.739613613203,-74.081073017197,37,7273.52581141
p_4496,40.739452257009,-74.08050435582,38,7324.79149106
p_4496,40.739301836544,-74.079991846558,39,7371.19194454
p_4496,40.739014349895,-74.078902226845,40,7468.60755568
p_4496,40.738633446191,-74.077420203705,41,7600.74206658
p_4496,40.738466866106,-74.07668987368,42,7665.1445574
p_4496,40.738292088075,-74.07595494841,43,7730.18492451
p_4496,40.738156572881,-74.075391525131,44,7780.0983336
p_4496,40.737988538316,-74.074786050262,45,7834.5390392
p_4496,40.737739213697,-74.073946694443,46,7910.65188183
p_4496,40.737546695428,-74.07326194841,47,7972.31561955
p_4496,40.737279443383,-74.072335796295,48,8055.98629439
p_4496,40.736958377626,-74.071162694443,49,8161.29575465
p_4496,40.736574670398,-74.06988435582,50,8277.37898148
p_4496,40.736059669265,-74.068316661377,51,8421.62338174
p_4496,40.735634150223,-74.067195339951,52,8527.47433779
p_4496,40.735090836377,-74.066285189163,53,8625.20328386
p_4496,40.734650354034,-74.065668408737,54,8696.66742399
p_4496,40.734142515297,-74.065079223556,55,8771.88311886
p_4496,40.733891594655,-74.064779969589,56,8809.50546076
p_4496,40.733506901105,-74.064361002655,57,8864.98089951
p_4496,40.733362909491,-74.064188248024,58,8886.62905864
